块大小,块总数,容量(B),相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率,缺失代价(事务数)
128,4,512,4,random,865,863,2,2,0,0,99.77%,64
128,4,512,1,fifo,865,863,2,2,0,0,99.77%,64
128,4,512,1,lru,865,863,2,2,0,0,99.77%,64
128,4,512,1,random,865,863,2,2,0,0,99.77%,64
128,4,512,2,fifo,865,863,2,2,0,0,99.77%,64
128,4,512,2,lru,865,863,2,2,0,0,99.77%,64
128,4,512,2,random,865,863,2,2,0,0,99.77%,64
128,4,512,4,fifo,865,863,2,2,0,0,99.77%,64
128,4,512,4,lru,865,863,2,2,0,0,99.77%,64
128,64,8192,4,lru,865,863,2,2,0,0,99.77%,64
128,8,1024,1,fifo,865,863,2,2,0,0,99.77%,64
128,8,1024,1,lru,865,863,2,2,0,0,99.77%,64
128,8,1024,1,random,865,863,2,2,0,0,99.77%,64
128,8,1024,2,fifo,865,863,2,2,0,0,99.77%,64
128,8,1024,2,lru,865,863,2,2,0,0,99.77%,64
128,8,1024,2,random,865,863,2,2,0,0,99.77%,64
128,8,1024,4,fifo,865,863,2,2,0,0,99.77%,64
128,8,1024,4,lru,865,863,2,2,0,0,99.77%,64
128,128,16384,2,lru,865,863,2,2,0,0,99.77%,64
128,256,32768,1,fifo,865,863,2,2,0,0,99.77%,64
128,128,16384,8,random,865,863,2,2,0,0,99.77%,64
128,128,16384,8,lru,865,863,2,2,0,0,99.77%,64
128,128,16384,8,fifo,865,863,2,2,0,0,99.77%,64
128,128,16384,4,random,865,863,2,2,0,0,99.77%,64
128,128,16384,4,lru,865,863,2,2,0,0,99.77%,64
128,128,16384,4,fifo,865,863,2,2,0,0,99.77%,64
128,128,16384,2,random,865,863,2,2,0,0,99.77%,64
128,8,1024,4,random,865,863,2,2,0,0,99.77%,64
128,128,16384,2,fifo,865,863,2,2,0,0,99.77%,64
128,128,16384,1,random,865,863,2,2,0,0,99.77%,64
128,128,16384,1,lru,865,863,2,2,0,0,99.77%,64
128,128,16384,1,fifo,865,863,2,2,0,0,99.77%,64
128,64,8192,8,random,865,863,2,2,0,0,99.77%,64
128,64,8192,8,lru,865,863,2,2,0,0,99.77%,64
128,64,8192,8,fifo,865,863,2,2,0,0,99.77%,64
128,64,8192,4,random,865,863,2,2,0,0,99.77%,64
128,32,4096,8,lru,865,863,2,2,0,0,99.77%,64
128,32,4096,1,random,865,863,2,2,0,0,99.77%,64
128,32,4096,2,fifo,865,863,2,2,0,0,99.77%,64
128,32,4096,2,lru,865,863,2,2,0,0,99.77%,64
128,32,4096,2,random,865,863,2,2,0,0,99.77%,64
128,32,4096,4,fifo,865,863,2,2,0,0,99.77%,64
128,32,4096,4,lru,865,863,2,2,0,0,99.77%,64
128,32,4096,4,random,865,863,2,2,0,0,99.77%,64
128,32,4096,8,fifo,865,863,2,2,0,0,99.77%,64
128,32,4096,1,lru,865,863,2,2,0,0,99.77%,64
128,32,4096,8,random,865,863,2,2,0,0,99.77%,64
128,64,8192,1,fifo,865,863,2,2,0,0,99.77%,64
128,64,8192,1,lru,865,863,2,2,0,0,99.77%,64
128,64,8192,1,random,865,863,2,2,0,0,99.77%,64
128,64,8192,2,fifo,865,863,2,2,0,0,99.77%,64
128,64,8192,2,lru,865,863,2,2,0,0,99.77%,64
128,64,8192,2,random,865,863,2,2,0,0,99.77%,64
128,64,8192,4,fifo,865,863,2,2,0,0,99.77%,64
128,16,2048,2,random,865,863,2,2,0,0,99.77%,64
128,8,1024,8,fifo,865,863,2,2,0,0,99.77%,64
128,8,1024,8,lru,865,863,2,2,0,0,99.77%,64
128,8,1024,8,random,865,863,2,2,0,0,99.77%,64
128,16,2048,1,fifo,865,863,2,2,0,0,99.77%,64
128,16,2048,1,lru,865,863,2,2,0,0,99.77%,64
128,16,2048,1,random,865,863,2,2,0,0,99.77%,64
128,16,2048,2,fifo,865,863,2,2,0,0,99.77%,64
128,16,2048,2,lru,865,863,2,2,0,0,99.77%,64
128,512,65536,8,random,865,863,2,2,0,0,99.77%,64
128,16,2048,4,fifo,865,863,2,2,0,0,99.77%,64
128,16,2048,4,lru,865,863,2,2,0,0,99.77%,64
128,16,2048,4,random,865,863,2,2,0,0,99.77%,64
128,16,2048,8,fifo,865,863,2,2,0,0,99.77%,64
128,16,2048,8,lru,865,863,2,2,0,0,99.77%,64
128,16,2048,8,random,865,863,2,2,0,0,99.77%,64
128,32,4096,1,fifo,865,863,2,2,0,0,99.77%,64
128,512,65536,8,lru,865,863,2,2,0,0,99.77%,64
128,256,32768,1,lru,865,863,2,2,0,0,99.77%,64
128,256,32768,1,random,865,863,2,2,0,0,99.77%,64
128,256,32768,2,fifo,865,863,2,2,0,0,99.77%,64
128,256,32768,2,lru,865,863,2,2,0,0,99.77%,64
128,256,32768,2,random,865,863,2,2,0,0,99.77%,64
128,256,32768,4,fifo,865,863,2,2,0,0,99.77%,64
128,256,32768,4,lru,865,863,2,2,0,0,99.77%,64
128,256,32768,4,random,865,863,2,2,0,0,99.77%,64
128,256,32768,8,fifo,865,863,2,2,0,0,99.77%,64
128,256,32768,8,lru,865,863,2,2,0,0,99.77%,64
128,256,32768,8,random,865,863,2,2,0,0,99.77%,64
128,512,65536,1,lru,865,863,2,2,0,0,99.77%,64
128,512,65536,1,random,865,863,2,2,0,0,99.77%,64
128,512,65536,2,fifo,865,863,2,2,0,0,99.77%,64
128,512,65536,2,lru,865,863,2,2,0,0,99.77%,64
128,512,65536,2,random,865,863,2,2,0,0,99.77%,64
128,512,65536,4,fifo,865,863,2,2,0,0,99.77%,64
128,512,65536,4,lru,865,863,2,2,0,0,99.77%,64
128,512,65536,4,random,865,863,2,2,0,0,99.77%,64
128,512,65536,8,fifo,865,863,2,2,0,0,99.77%,64
128,512,65536,1,fifo,865,863,2,2,0,0,99.77%,64
64,32,2048,1,fifo,865,861,4,4,0,0,99.54%,64
64,16,1024,8,random,865,861,4,4,0,0,99.54%,64
64,16,1024,8,lru,865,861,4,4,0,0,99.54%,64
64,16,1024,8,fifo,865,861,4,4,0,0,99.54%,64
64,16,1024,4,random,865,861,4,4,0,0,99.54%,64
64,16,1024,4,lru,865,861,4,4,0,0,99.54%,64
64,16,1024,4,fifo,865,861,4,4,0,0,99.54%,64
64,16,1024,2,random,865,861,4,4,0,0,99.54%,64
64,16,1024,2,lru,865,861,4,4,0,0,99.54%,64
64,16,1024,2,fifo,865,861,4,4,0,0,99.54%,64
64,64,4096,1,fifo,865,861,4,4,0,0,99.54%,64
64,16,1024,1,random,865,861,4,4,0,0,99.54%,64
64,32,2048,1,lru,865,861,4,4,0,0,99.54%,64
64,32,2048,1,random,865,861,4,4,0,0,99.54%,64
64,32,2048,2,fifo,865,861,4,4,0,0,99.54%,64
64,32,2048,2,lru,865,861,4,4,0,0,99.54%,64
64,32,2048,2,random,865,861,4,4,0,0,99.54%,64
64,32,2048,4,fifo,865,861,4,4,0,0,99.54%,64
64,32,2048,4,lru,865,861,4,4,0,0,99.54%,64
64,32,2048,4,random,865,861,4,4,0,0,99.54%,64
64,32,2048,8,fifo,865,861,4,4,0,0,99.54%,64
64,32,2048,8,lru,865,861,4,4,0,0,99.54%,64
64,32,2048,8,random,865,861,4,4,0,0,99.54%,64
64,4,256,1,fifo,865,861,4,4,0,0,99.54%,64
64,8,512,1,random,865,861,4,4,0,0,99.54%,64
64,512,32768,8,random,865,861,4,4,0,0,99.54%,64
64,4,256,1,lru,865,861,4,4,0,0,99.54%,64
64,4,256,1,random,865,861,4,4,0,0,99.54%,64
64,4,256,2,fifo,865,861,4,4,0,0,99.54%,64
64,4,256,2,lru,865,861,4,4,0,0,99.54%,64
64,4,256,2,random,865,861,4,4,0,0,99.54%,64
64,4,256,4,fifo,865,861,4,4,0,0,99.54%,64
64,4,256,4,lru,865,861,4,4,0,0,99.54%,64
64,4,256,4,random,865,861,4,4,0,0,99.54%,64
64,8,512,1,fifo,865,861,4,4,0,0,99.54%,64
64,8,512,1,lru,865,861,4,4,0,0,99.54%,64
64,16,1024,1,lru,865,861,4,4,0,0,99.54%,64
64,8,512,2,fifo,865,861,4,4,0,0,99.54%,64
64,8,512,2,lru,865,861,4,4,0,0,99.54%,64
64,8,512,2,random,865,861,4,4,0,0,99.54%,64
64,8,512,4,fifo,865,861,4,4,0,0,99.54%,64
64,8,512,4,lru,865,861,4,4,0,0,99.54%,64
64,8,512,4,random,865,861,4,4,0,0,99.54%,64
64,8,512,8,fifo,865,861,4,4,0,0,99.54%,64
64,8,512,8,lru,865,861,4,4,0,0,99.54%,64
64,8,512,8,random,865,861,4,4,0,0,99.54%,64
64,16,1024,1,fifo,865,861,4,4,0,0,99.54%,64
64,512,32768,1,fifo,865,861,4,4,0,0,99.54%,64
64,256,16384,1,lru,865,861,4,4,0,0,99.54%,64
64,256,16384,1,random,865,861,4,4,0,0,99.54%,64
64,256,16384,2,fifo,865,861,4,4,0,0,99.54%,64
64,256,16384,2,lru,865,861,4,4,0,0,99.54%,64
64,256,16384,2,random,865,861,4,4,0,0,99.54%,64
64,256,16384,4,fifo,865,861,4,4,0,0,99.54%,64
64,256,16384,4,lru,865,861,4,4,0,0,99.54%,64
64,256,16384,4,random,865,861,4,4,0,0,99.54%,64
64,256,16384,8,fifo,865,861,4,4,0,0,99.54%,64
64,256,16384,8,lru,865,861,4,4,0,0,99.54%,64
64,256,16384,8,random,865,861,4,4,0,0,99.54%,64
64,256,16384,1,fifo,865,861,4,4,0,0,99.54%,64
64,512,32768,1,lru,865,861,4,4,0,0,99.54%,64
64,512,32768,1,random,865,861,4,4,0,0,99.54%,64
64,512,32768,2,fifo,865,861,4,4,0,0,99.54%,64
64,512,32768,2,lru,865,861,4,4,0,0,99.54%,64
64,512,32768,2,random,865,861,4,4,0,0,99.54%,64
64,512,32768,4,fifo,865,861,4,4,0,0,99.54%,64
64,512,32768,4,lru,865,861,4,4,0,0,99.54%,64
64,512,32768,4,random,865,861,4,4,0,0,99.54%,64
64,512,32768,8,fifo,865,861,4,4,0,0,99.54%,64
64,512,32768,8,lru,865,861,4,4,0,0,99.54%,64
64,128,8192,1,lru,865,861,4,4,0,0,99.54%,64
64,64,4096,1,random,865,861,4,4,0,0,99.54%,64
64,64,4096,2,fifo,865,861,4,4,0,0,99.54%,64
64,64,4096,2,lru,865,861,4,4,0,0,99.54%,64
64,64,4096,2,random,865,861,4,4,0,0,99.54%,64
64,64,4096,4,fifo,865,861,4,4,0,0,99.54%,64
64,64,4096,4,lru,865,861,4,4,0,0,99.54%,64
64,64,4096,4,random,865,861,4,4,0,0,99.54%,64
64,64,4096,8,fifo,865,861,4,4,0,0,99.54%,64
64,64,4096,8,lru,865,861,4,4,0,0,99.54%,64
64,64,4096,8,random,865,861,4,4,0,0,99.54%,64
64,128,8192,1,fifo,865,861,4,4,0,0,99.54%,64
64,64,4096,1,lru,865,861,4,4,0,0,99.54%,64
64,128,8192,1,random,865,861,4,4,0,0,99.54%,64
64,128,8192,2,fifo,865,861,4,4,0,0,99.54%,64
64,128,8192,2,lru,865,861,4,4,0,0,99.54%,64
64,128,8192,2,random,865,861,4,4,0,0,99.54%,64
64,128,8192,4,fifo,865,861,4,4,0,0,99.54%,64
64,128,8192,4,lru,865,861,4,4,0,0,99.54%,64
64,128,8192,4,random,865,861,4,4,0,0,99.54%,64
64,128,8192,8,fifo,865,861,4,4,0,0,99.54%,64
64,128,8192,8,lru,865,861,4,4,0,0,99.54%,64
64,128,8192,8,random,865,861,4,4,0,0,99.54%,64
32,32,1024,2,lru,865,858,7,7,0,0,99.19%,56
32,16,512,4,fifo,865,858,7,7,0,0,99.19%,56
32,16,512,4,lru,865,858,7,7,0,0,99.19%,56
