块大小,块总数,相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率
128,64,8,random,1477430,1477387,43,43,0,0,100.00%
128,128,8,random,1477430,1477387,43,43,0,0,100.00%
128,128,8,lru,1477430,1477387,43,43,0,0,100.00%
128,128,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,128,4,random,1477430,1477387,43,43,0,0,100.00%
128,128,4,lru,1477430,1477387,43,43,0,0,100.00%
128,128,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,128,2,random,1477430,1477387,43,43,0,0,100.00%
128,128,2,lru,1477430,1477387,43,43,0,0,100.00%
128,128,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,128,1,random,1477430,1477387,43,43,0,0,100.00%
128,128,1,lru,1477430,1477387,43,43,0,0,100.00%
128,128,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,8,random,1477430,1477387,43,43,0,0,100.00%
128,64,8,lru,1477430,1477387,43,43,0,0,100.00%
128,64,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,64,4,random,1477430,1477387,43,43,0,0,100.00%
128,64,4,lru,1477430,1477387,43,43,0,0,100.00%
128,64,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,64,2,random,1477430,1477387,43,43,0,0,100.00%
128,64,2,lru,1477430,1477387,43,43,0,0,100.00%
128,64,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,64,1,random,1477430,1477387,43,43,0,0,100.00%
128,64,1,lru,1477430,1477387,43,43,0,0,100.00%
128,64,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,1,lru,1477430,1477387,43,43,0,0,100.00%
128,256,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,8,lru,1477430,1477387,43,43,0,0,100.00%
128,512,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,4,random,1477430,1477387,43,43,0,0,100.00%
128,512,4,lru,1477430,1477387,43,43,0,0,100.00%
128,512,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,2,random,1477430,1477387,43,43,0,0,100.00%
128,512,2,lru,1477430,1477387,43,43,0,0,100.00%
128,512,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,1,random,1477430,1477387,43,43,0,0,100.00%
128,512,1,lru,1477430,1477387,43,43,0,0,100.00%
128,512,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,8,random,1477430,1477387,43,43,0,0,100.00%
128,256,8,lru,1477430,1477387,43,43,0,0,100.00%
128,256,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,4,random,1477430,1477387,43,43,0,0,100.00%
128,256,4,lru,1477430,1477387,43,43,0,0,100.00%
128,256,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,2,random,1477430,1477387,43,43,0,0,100.00%
128,256,2,lru,1477430,1477387,43,43,0,0,100.00%
128,256,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,1,random,1477430,1477387,43,43,0,0,100.00%
128,32,8,lru,1477430,1477386,44,43,1,0,100.00%
128,32,2,random,1477430,1477383,47,43,0,4,100.00%
128,32,2,fifo,1477430,1477382,48,43,0,5,100.00%
128,32,2,lru,1477430,1477382,48,43,0,5,100.00%
128,32,4,lru,1477430,1477382,48,43,1,4,100.00%
128,32,8,fifo,1477430,1477380,50,43,1,6,100.00%
128,32,8,random,1477430,1477379,51,43,1,7,100.00%
128,32,4,random,1477430,1477378,52,43,1,8,100.00%
128,32,4,fifo,1477430,1477378,52,43,1,8,100.00%
128,16,8,lru,1477430,1477366,64,43,20,1,100.00%
64,512,4,random,1477430,1477365,65,65,0,0,100.00%
64,256,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,8,lru,1477430,1477365,65,65,0,0,100.00%
64,256,8,random,1477430,1477365,65,65,0,0,100.00%
64,512,1,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,1,lru,1477430,1477365,65,65,0,0,100.00%
64,512,1,random,1477430,1477365,65,65,0,0,100.00%
64,512,2,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,2,lru,1477430,1477365,65,65,0,0,100.00%
64,512,2,random,1477430,1477365,65,65,0,0,100.00%
64,512,4,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,4,lru,1477430,1477365,65,65,0,0,100.00%
64,256,4,lru,1477430,1477365,65,65,0,0,100.00%
64,512,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,8,lru,1477430,1477365,65,65,0,0,100.00%
64,512,8,random,1477430,1477365,65,65,0,0,100.00%
64,256,1,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,1,lru,1477430,1477365,65,65,0,0,100.00%
64,128,1,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,4,random,1477430,1477365,65,65,0,0,100.00%
64,128,4,lru,1477430,1477365,65,65,0,0,100.00%
64,128,8,random,1477430,1477365,65,65,0,0,100.00%
64,128,4,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,2,random,1477430,1477365,65,65,0,0,100.00%
64,128,2,lru,1477430,1477365,65,65,0,0,100.00%
64,128,2,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,1,random,1477430,1477365,65,65,0,0,100.00%
64,128,1,lru,1477430,1477365,65,65,0,0,100.00%
64,256,4,random,1477430,1477365,65,65,0,0,100.00%
64,64,8,random,1477430,1477365,65,65,0,0,100.00%
64,64,8,lru,1477430,1477365,65,65,0,0,100.00%
64,64,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,1,random,1477430,1477365,65,65,0,0,100.00%
64,256,2,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,2,lru,1477430,1477365,65,65,0,0,100.00%
64,256,2,random,1477430,1477365,65,65,0,0,100.00%
64,256,4,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,8,lru,1477430,1477365,65,65,0,0,100.00%
64,64,1,random,1477430,1477363,67,65,0,2,100.00%
64,64,1,fifo,1477430,1477363,67,65,0,2,100.00%
64,64,1,lru,1477430,1477363,67,65,0,2,100.00%
128,16,4,lru,1477430,1477362,68,43,20,5,100.00%
64,64,2,random,1477430,1477362,68,65,0,3,100.00%
64,64,4,random,1477430,1477361,69,65,0,4,100.00%
64,64,2,fifo,1477430,1477361,69,65,0,4,100.00%
64,64,2,lru,1477430,1477360,70,65,0,5,100.00%
64,64,4,lru,1477430,1477358,72,65,0,7,100.00%
64,64,4,fifo,1477430,1477357,73,65,0,8,100.00%
128,16,4,fifo,1477430,1477356,74,43,19,12,99.99%
128,16,2,lru,1477430,1477356,74,43,17,14,99.99%
128,16,4,random,1477430,1477355,75,43,15,17,99.99%
128,16,8,fifo,1477430,1477351,79,43,20,16,99.99%
128,16,2,fifo,1477430,1477350,80,43,19,18,99.99%
64,32,8,lru,1477430,1477347,83,65,14,4,99.99%
128,16,8,random,1477430,1477345,85,43,19,23,99.99%
128,16,2,random,1477430,1477342,88,43,18,27,99.99%
64,32,4,lru,1477430,1477341,89,65,18,6,99.99%
64,32,8,fifo,1477430,1477341,89,65,15,9,99.99%
64,32,8,random,1477430,1477338,92,65,13,14,99.99%
64,32,4,fifo,1477430,1477337,93,65,19,9,99.99%
64,32,1,random,1477430,1477333,97,65,11,21,99.99%
64,32,1,lru,1477430,1477333,97,65,11,21,99.99%
64,32,1,fifo,1477430,1477333,97,65,11,21,99.99%
64,32,4,random,1477430,1477332,98,65,15,18,99.99%
128,8,8,fifo,1477430,1477332,98,43,51,4,99.99%
128,8,8,lru,1477430,1477331,99,43,56,0,99.99%
64,32,2,random,1477430,1477330,100,65,11,24,99.99%
64,32,2,lru,1477430,1477329,101,65,15,21,99.99%
64,32,2,fifo,1477430,1477325,105,65,16,24,99.99%
32,512,4,random,1477430,1477317,113,113,0,0,99.99%
32,512,8,fifo,1477430,1477317,113,113,0,0,99.99%
32,256,1,fifo,1477430,1477317,113,113,0,0,99.99%
32,512,8,lru,1477430,1477317,113,113,0,0,99.99%
32,512,8,random,1477430,1477317,113,113,0,0,99.99%
32,256,4,fifo,1477430,1477317,113,113,0,0,99.99%
32,256,2,random,1477430,1477317,113,113,0,0,99.99%
32,256,2,lru,1477430,1477317,113,113,0,0,99.99%
32,256,2,fifo,1477430,1477317,113,113,0,0,99.99%
32,256,1,random,1477430,1477317,113,113,0,0,99.99%
32,256,1,lru,1477430,1477317,113,113,0,0,99.99%
32,256,4,lru,1477430,1477317,113,113,0,0,99.99%
32,512,4,lru,1477430,1477317,113,113,0,0,99.99%
32,512,4,fifo,1477430,1477317,113,113,0,0,99.99%
32,512,2,random,1477430,1477317,113,113,0,0,99.99%
32,512,2,lru,1477430,1477317,113,113,0,0,99.99%
