Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
io_debug_pc[23]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.010e-03,0.000e+00,7.478e-10,8.010e-03
io_debug_pc[12]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.010e-03,0.000e+00,7.492e-10,8.010e-03
io_debug_pc[8]_reg_p_D_NOR4X1H7L_Y_D_MUX2X3H7L_Y,1.2,7.876e-03,0.000e+00,4.519e-09,7.876e-03
io_debug_pc[25]_reg_p_D_OAI21X0P5H7L_Y,1.2,7.838e-03,0.000e+00,7.108e-10,7.838e-03
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y_C0_OAOI211X0P5H7L_Y_B0_AOAI211X0P5H7L_Y_A1_NOR4BBX0P5H7L_Y_AN_NAND4BBX4H7L_D_Y_BUFX7H7L_A,1.2,7.750e-03,0.000e+00,4.862e-09,7.750e-03
io_debug_pc[0]_reg_p_D_AOI21X1P4H7L_Y_A0_AOI2BB2X0P5H7L_Y,1.2,7.744e-03,0.000e+00,1.696e-09,7.744e-03
io_debug_pc[7]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,7.693e-03,0.000e+00,7.424e-10,7.693e-03
io_perf_trap_OAOI211X4H7L_C0_Y_BUFX16H7L_A,1.2,7.598e-03,0.000e+00,9.973e-09,7.598e-03
io_debug_pc[26]_reg_p_D_AOAI211X0P5H7L_Y,1.2,7.594e-03,0.000e+00,6.923e-10,7.594e-03
icache.s1_hit_reg_p_D_OAI211X1P4H7L_Y,1.2,7.580e-03,0.000e+00,6.936e-10,7.580e-03
io_debug_pc[4]_reg_p_D_AOI31X1P4H7L_Y,1.2,7.405e-03,0.000e+00,9.310e-10,7.405e-03
io_debug_pc[13]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,7.166e-03,0.000e+00,5.536e-10,7.166e-03
icache.s1_valid_NAND2BX0P5H7L_B_Y_NAND2X12H7L_A,1.2,7.099e-03,0.000e+00,4.885e-09,7.099e-03
io_debug_pc[16]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,7.079e-03,0.000e+00,5.541e-10,7.079e-03
io_debug_pc[30]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,7.030e-03,0.000e+00,5.517e-10,7.030e-03
io_debug_pc[9]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.974e-03,0.000e+00,5.526e-10,6.974e-03
io_debug_pc[3]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.970e-03,0.000e+00,5.528e-10,6.970e-03
io_debug_pc[0]_reg_p_D_AOI21X1P4H7L_Y_A1_MUX2X0P5H7L_Y,1.2,6.877e-03,0.000e+00,2.092e-09,6.877e-03
io_debug_pc[17]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.859e-03,0.000e+00,5.536e-10,6.859e-03
icache.s1_ready_NOR3X0P5H7L_B_Y_AND4X0P5H7L_B_Y_AOAI211X1P4H7L_C0_A1_NOR4BX0P5H7L_Y_D_OR3X1H7L_A,1.2,6.769e-03,0.000e+00,1.585e-09,6.769e-03
io_debug_pc[24]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.689e-03,0.000e+00,5.535e-10,6.689e-03
io_debug_pc[23]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.660e-03,0.000e+00,5.535e-10,6.660e-03
io_debug_pc[7]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.616e-03,0.000e+00,5.535e-10,6.616e-03
io_debug_pc[19]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X1P4H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.602e-03,0.000e+00,5.535e-10,6.602e-03
io_debug_pc[12]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI211X0P7H7L_Y,1.2,6.581e-03,0.000e+00,5.535e-10,6.581e-03
io_debug_pc[2]_reg_p_D_OAI21X0P5H7L_Y_A1_MUX2X0P5H7L_Y,1.2,6.517e-03,0.000e+00,2.028e-09,6.517e-03
