块大小,块总数,相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率
32,16,8,random,202,197,5,5,0,0,97.52%
32,32,8,random,202,197,5,5,0,0,97.52%
32,32,8,lru,202,197,5,5,0,0,97.52%
32,32,8,fifo,202,197,5,5,0,0,97.52%
32,32,4,random,202,197,5,5,0,0,97.52%
32,32,4,lru,202,197,5,5,0,0,97.52%
32,32,4,fifo,202,197,5,5,0,0,97.52%
32,32,2,random,202,197,5,5,0,0,97.52%
32,32,2,lru,202,197,5,5,0,0,97.52%
32,32,2,fifo,202,197,5,5,0,0,97.52%
32,32,1,random,202,197,5,5,0,0,97.52%
32,32,1,lru,202,197,5,5,0,0,97.52%
32,32,1,fifo,202,197,5,5,0,0,97.52%
32,128,8,random,202,197,5,5,0,0,97.52%
32,16,8,lru,202,197,5,5,0,0,97.52%
32,16,8,fifo,202,197,5,5,0,0,97.52%
32,16,4,random,202,197,5,5,0,0,97.52%
32,16,4,lru,202,197,5,5,0,0,97.52%
32,16,4,fifo,202,197,5,5,0,0,97.52%
32,16,2,random,202,197,5,5,0,0,97.52%
32,16,2,lru,202,197,5,5,0,0,97.52%
32,16,2,fifo,202,197,5,5,0,0,97.52%
32,16,1,random,202,197,5,5,0,0,97.52%
32,16,1,lru,202,197,5,5,0,0,97.52%
32,16,1,fifo,202,197,5,5,0,0,97.52%
32,64,1,lru,202,197,5,5,0,0,97.52%
32,64,1,fifo,202,197,5,5,0,0,97.52%
32,128,8,lru,202,197,5,5,0,0,97.52%
32,128,8,fifo,202,197,5,5,0,0,97.52%
32,128,4,random,202,197,5,5,0,0,97.52%
32,128,4,lru,202,197,5,5,0,0,97.52%
32,128,4,fifo,202,197,5,5,0,0,97.52%
32,128,2,random,202,197,5,5,0,0,97.52%
32,128,2,lru,202,197,5,5,0,0,97.52%
32,128,2,fifo,202,197,5,5,0,0,97.52%
32,128,1,random,202,197,5,5,0,0,97.52%
32,128,1,lru,202,197,5,5,0,0,97.52%
32,64,8,random,202,197,5,5,0,0,97.52%
32,128,1,fifo,202,197,5,5,0,0,97.52%
32,64,1,random,202,197,5,5,0,0,97.52%
32,64,2,fifo,202,197,5,5,0,0,97.52%
32,64,2,lru,202,197,5,5,0,0,97.52%
32,64,2,random,202,197,5,5,0,0,97.52%
32,64,4,lru,202,197,5,5,0,0,97.52%
32,64,4,random,202,197,5,5,0,0,97.52%
32,64,8,fifo,202,197,5,5,0,0,97.52%
32,64,8,lru,202,197,5,5,0,0,97.52%
32,64,4,fifo,202,197,5,5,0,0,97.52%
16,32,1,lru,202,193,9,9,0,0,95.54%
16,32,1,random,202,193,9,9,0,0,95.54%
16,32,2,fifo,202,193,9,9,0,0,95.54%
16,32,2,lru,202,193,9,9,0,0,95.54%
16,32,2,random,202,193,9,9,0,0,95.54%
16,32,4,fifo,202,193,9,9,0,0,95.54%
16,32,4,lru,202,193,9,9,0,0,95.54%
16,32,4,random,202,193,9,9,0,0,95.54%
16,32,8,fifo,202,193,9,9,0,0,95.54%
16,32,8,lru,202,193,9,9,0,0,95.54%
16,32,8,random,202,193,9,9,0,0,95.54%
16,64,1,fifo,202,193,9,9,0,0,95.54%
16,32,1,fifo,202,193,9,9,0,0,95.54%
16,16,8,random,202,193,9,9,0,0,95.54%
16,16,8,lru,202,193,9,9,0,0,95.54%
16,16,8,fifo,202,193,9,9,0,0,95.54%
16,16,4,random,202,193,9,9,0,0,95.54%
16,16,4,lru,202,193,9,9,0,0,95.54%
16,16,4,fifo,202,193,9,9,0,0,95.54%
16,16,2,random,202,193,9,9,0,0,95.54%
16,16,2,lru,202,193,9,9,0,0,95.54%
16,16,2,fifo,202,193,9,9,0,0,95.54%
16,16,1,random,202,193,9,9,0,0,95.54%
16,16,1,lru,202,193,9,9,0,0,95.54%
16,128,1,lru,202,193,9,9,0,0,95.54%
16,16,1,fifo,202,193,9,9,0,0,95.54%
16,128,8,random,202,193,9,9,0,0,95.54%
16,128,8,lru,202,193,9,9,0,0,95.54%
16,128,8,fifo,202,193,9,9,0,0,95.54%
16,128,4,random,202,193,9,9,0,0,95.54%
16,128,4,lru,202,193,9,9,0,0,95.54%
16,128,4,fifo,202,193,9,9,0,0,95.54%
16,128,2,random,202,193,9,9,0,0,95.54%
16,128,2,lru,202,193,9,9,0,0,95.54%
16,128,2,fifo,202,193,9,9,0,0,95.54%
16,128,1,random,202,193,9,9,0,0,95.54%
16,64,1,lru,202,193,9,9,0,0,95.54%
16,128,1,fifo,202,193,9,9,0,0,95.54%
16,64,8,random,202,193,9,9,0,0,95.54%
16,64,8,lru,202,193,9,9,0,0,95.54%
16,64,8,fifo,202,193,9,9,0,0,95.54%
16,64,4,random,202,193,9,9,0,0,95.54%
16,64,4,lru,202,193,9,9,0,0,95.54%
16,64,4,fifo,202,193,9,9,0,0,95.54%
16,64,2,random,202,193,9,9,0,0,95.54%
16,64,2,lru,202,193,9,9,0,0,95.54%
16,64,2,fifo,202,193,9,9,0,0,95.54%
16,64,1,random,202,193,9,9,0,0,95.54%
8,16,8,random,202,188,14,14,0,0,93.07%
8,32,8,random,202,188,14,14,0,0,93.07%
8,32,8,lru,202,188,14,14,0,0,93.07%
8,32,8,fifo,202,188,14,14,0,0,93.07%
8,32,4,random,202,188,14,14,0,0,93.07%
8,32,4,lru,202,188,14,14,0,0,93.07%
8,32,4,fifo,202,188,14,14,0,0,93.07%
8,32,2,random,202,188,14,14,0,0,93.07%
8,32,2,lru,202,188,14,14,0,0,93.07%
8,32,2,fifo,202,188,14,14,0,0,93.07%
8,32,1,random,202,188,14,14,0,0,93.07%
8,32,1,lru,202,188,14,14,0,0,93.07%
8,32,1,fifo,202,188,14,14,0,0,93.07%
8,128,8,random,202,188,14,14,0,0,93.07%
8,16,8,lru,202,188,14,14,0,0,93.07%
8,16,8,fifo,202,188,14,14,0,0,93.07%
8,16,4,random,202,188,14,14,0,0,93.07%
8,16,4,lru,202,188,14,14,0,0,93.07%
8,16,4,fifo,202,188,14,14,0,0,93.07%
8,16,2,random,202,188,14,14,0,0,93.07%
8,16,2,lru,202,188,14,14,0,0,93.07%
8,16,2,fifo,202,188,14,14,0,0,93.07%
8,16,1,random,202,188,14,14,0,0,93.07%
8,16,1,lru,202,188,14,14,0,0,93.07%
8,16,1,fifo,202,188,14,14,0,0,93.07%
8,64,1,lru,202,188,14,14,0,0,93.07%
8,64,1,fifo,202,188,14,14,0,0,93.07%
8,128,8,lru,202,188,14,14,0,0,93.07%
8,128,8,fifo,202,188,14,14,0,0,93.07%
8,128,4,random,202,188,14,14,0,0,93.07%
8,128,4,lru,202,188,14,14,0,0,93.07%
8,128,4,fifo,202,188,14,14,0,0,93.07%
8,128,2,random,202,188,14,14,0,0,93.07%
8,128,2,lru,202,188,14,14,0,0,93.07%
8,128,2,fifo,202,188,14,14,0,0,93.07%
8,128,1,random,202,188,14,14,0,0,93.07%
8,128,1,lru,202,188,14,14,0,0,93.07%
8,64,8,random,202,188,14,14,0,0,93.07%
8,128,1,fifo,202,188,14,14,0,0,93.07%
8,64,1,random,202,188,14,14,0,0,93.07%
8,64,2,fifo,202,188,14,14,0,0,93.07%
8,64,2,lru,202,188,14,14,0,0,93.07%
8,64,2,random,202,188,14,14,0,0,93.07%
8,64,4,lru,202,188,14,14,0,0,93.07%
8,64,4,random,202,188,14,14,0,0,93.07%
8,64,8,fifo,202,188,14,14,0,0,93.07%
8,64,8,lru,202,188,14,14,0,0,93.07%
8,64,4,fifo,202,188,14,14,0,0,93.07%
4,32,1,lru,202,177,25,25,0,0,87.62%
4,32,1,random,202,177,25,25,0,0,87.62%
4,32,2,fifo,202,177,25,25,0,0,87.62%
4,32,2,lru,202,177,25,25,0,0,87.62%
4,32,2,random,202,177,25,25,0,0,87.62%
4,32,4,fifo,202,177,25,25,0,0,87.62%
4,32,4,lru,202,177,25,25,0,0,87.62%
4,32,4,random,202,177,25,25,0,0,87.62%
4,32,8,fifo,202,177,25,25,0,0,87.62%
4,32,8,lru,202,177,25,25,0,0,87.62%
4,32,8,random,202,177,25,25,0,0,87.62%
4,64,1,fifo,202,177,25,25,0,0,87.62%
4,32,1,fifo,202,177,25,25,0,0,87.62%
4,16,8,random,202,177,25,25,0,0,87.62%
4,16,8,lru,202,177,25,25,0,0,87.62%
4,16,8,fifo,202,177,25,25,0,0,87.62%
4,16,4,random,202,177,25,25,0,0,87.62%
4,16,4,lru,202,177,25,25,0,0,87.62%
4,16,4,fifo,202,177,25,25,0,0,87.62%
4,16,2,random,202,177,25,25,0,0,87.62%
4,16,2,lru,202,177,25,25,0,0,87.62%
4,16,2,fifo,202,177,25,25,0,0,87.62%
4,16,1,random,202,177,25,25,0,0,87.62%
4,16,1,lru,202,177,25,25,0,0,87.62%
4,128,1,lru,202,177,25,25,0,0,87.62%
4,16,1,fifo,202,177,25,25,0,0,87.62%
4,128,8,random,202,177,25,25,0,0,87.62%
4,128,8,lru,202,177,25,25,0,0,87.62%
4,128,8,fifo,202,177,25,25,0,0,87.62%
4,128,4,random,202,177,25,25,0,0,87.62%
4,128,4,lru,202,177,25,25,0,0,87.62%
4,128,4,fifo,202,177,25,25,0,0,87.62%
4,128,2,random,202,177,25,25,0,0,87.62%
4,128,2,lru,202,177,25,25,0,0,87.62%
4,128,2,fifo,202,177,25,25,0,0,87.62%
4,128,1,random,202,177,25,25,0,0,87.62%
4,64,1,lru,202,177,25,25,0,0,87.62%
4,128,1,fifo,202,177,25,25,0,0,87.62%
4,64,8,random,202,177,25,25,0,0,87.62%
4,64,8,lru,202,177,25,25,0,0,87.62%
4,64,8,fifo,202,177,25,25,0,0,87.62%
4,64,4,random,202,177,25,25,0,0,87.62%
4,64,4,lru,202,177,25,25,0,0,87.62%
4,64,4,fifo,202,177,25,25,0,0,87.62%
4,64,2,random,202,177,25,25,0,0,87.62%
4,64,2,lru,202,177,25,25,0,0,87.62%
4,64,2,fifo,202,177,25,25,0,0,87.62%
4,64,1,random,202,177,25,25,0,0,87.62%
