Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
BitsReg_1_pred_target_30__MUX2X0P5H7L_B_Y_XOR2X0P7H7L_A_Y_NAND4X6H7L_A,1.2,5.041e-03,0.000e+00,8.691e-10,5.041e-03
io_debug_pc[28]_reg_p_D_OA31X1H7L_Y,1.2,4.354e-03,0.000e+00,1.414e-09,4.354e-03
io_debug_pc[1]_reg_p_D_AO221X0P5H7L_Y,1.2,4.343e-03,0.000e+00,1.743e-09,4.343e-03
io_debug_pc[29]_reg_p_D_AO211X1H7L_Y,1.2,3.985e-03,0.000e+00,1.685e-09,3.985e-03
BitsReg_1_pred_target_30__MUX2X0P5H7L_B_Y_XOR2X0P7H7L_A_Y_NAND4X6H7L_A_Y_BUFX16H7L_A,1.2,3.642e-03,0.000e+00,1.009e-08,3.642e-03
io_debug_pc[17]_reg_p_D_OAI211X1P4H7L_Y,1.2,3.521e-03,0.000e+00,6.919e-10,3.521e-03
BitsReg_1_pred_target_30__MUX2X0P5H7L_B_Y_NAND4BX0P5H7L_AN_B_NOR4X6H7L_Y_C_OR4X1P4H7L_Y,1.2,3.121e-03,0.000e+00,1.676e-09,3.121e-03
io_debug_pc[23]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.897e-03,0.000e+00,6.770e-10,2.897e-03
io_debug_pc[26]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.834e-03,0.000e+00,6.763e-10,2.834e-03
io_debug_pc[5]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.817e-03,0.000e+00,6.760e-10,2.817e-03
io_debug_pc[25]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.817e-03,0.000e+00,6.760e-10,2.817e-03
io_debug_pc[15]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.811e-03,0.000e+00,6.750e-10,2.811e-03
io_debug_pc[13]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.800e-03,0.000e+00,6.755e-10,2.800e-03
io_debug_pc[20]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.750e-03,0.000e+00,6.744e-10,2.750e-03
io_debug_pc[18]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.709e-03,0.000e+00,6.734e-10,2.709e-03
io_debug_pc[24]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.694e-03,0.000e+00,6.754e-10,2.694e-03
io_debug_pc[2]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.673e-03,0.000e+00,6.765e-10,2.673e-03
io_debug_pc[22]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.633e-03,0.000e+00,6.674e-10,2.633e-03
io_debug_pc[7]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.626e-03,0.000e+00,6.751e-10,2.626e-03
BitsReg_1_pred_target_30__MUX2X0P5H7L_B_Y_NAND4BX0P5H7L_AN_B_NOR4X6H7L_Y_D_AO221X0P7H7L_Y,1.2,2.623e-03,0.000e+00,1.641e-09,2.623e-03
io_perf_icache_hit_NOR2X0P5H7L_Y_A_NAND2X8H7L_Y_A_AOI21X8H7L_Y,1.2,2.590e-03,0.000e+00,4.197e-09,2.590e-03
io_debug_pc[9]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.535e-03,0.000e+00,6.747e-10,2.535e-03
io_debug_pc[6]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.529e-03,0.000e+00,6.762e-10,2.529e-03
io_debug_pc[21]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.496e-03,0.000e+00,6.751e-10,2.496e-03
io_debug_pc[31]_reg_p_D_OAI211X1P4H7L_Y,1.2,2.492e-03,0.000e+00,6.734e-10,2.492e-03
io_perf_ifu_stall_axi_AOI211X6H7L_Y,1.2,2.490e-03,0.000e+00,3.009e-09,2.490e-03
io_debug_pc[3]_reg_p_D_OAI32X1P4H7L_Y,1.2,2.379e-03,0.000e+00,9.850e-10,2.379e-03
