现在指定了镜像文件
文件加载了: /home/abc/ysyx-workbench/am-kernels/benchmarks/microbench/build/microbench-riscv32i-ysyxsoc.bin, size = 29280 bytes
[C++ DUT] step cycle=0
[C++ DUT] step cycle=1
[C++ DUT] step cycle=2
[C++ DUT] step cycle=3
[C++ DUT] step cycle=4
[MTRACE] valid wen=0 addr=0x300000d0 wdata=0x00000000 rdata=0x91007297
[MTRACE] valid wen=1 addr=0x0f000084 wdata=0x91007297 rdata=0x91007297
[MTRACE] valid wen=0 addr=0x300000d4 wdata=0x00000000 rdata=0x0dc28293
[MTRACE] valid wen=1 addr=0x0f000088 wdata=0x0dc28293 rdata=0x0dc28293
[MTRACE] valid wen=0 addr=0x300000d8 wdata=0x00000000 rdata=0x91007317
[MTRACE] valid wen=1 addr=0x0f00008c wdata=0x91007317 rdata=0x91007317
[MTRACE] valid wen=0 addr=0x300000dc wdata=0x00000000 rdata=0x19230313
[MTRACE] valid wen=1 addr=0x0f000090 wdata=0x19230313 rdata=0x19230313
[MTRACE] valid wen=0 addr=0x300000e0 wdata=0x00000000 rdata=0x0062d863
[MTRACE] valid wen=1 addr=0x0f000094 wdata=0x0062d863 rdata=0x0062d863
[MTRACE] valid wen=0 addr=0x300000e4 wdata=0x00000000 rdata=0x0002a023
[MTRACE] valid wen=1 addr=0x0f000098 wdata=0x0002a023 rdata=0x0002a023
[MTRACE] valid wen=0 addr=0x300000e8 wdata=0x00000000 rdata=0x00428293
[MTRACE] valid wen=1 addr=0x0f00009c wdata=0x00428293 rdata=0x00428293
[MTRACE] valid wen=0 addr=0x300000ec wdata=0x00000000 rdata=0xff5ff06f
[MTRACE] valid wen=1 addr=0x0f0000a0 wdata=0xff5ff06f rdata=0xff5ff06f
[MTRACE] valid wen=0 addr=0x300000f0 wdata=0x00000000 rdata=0x0000100f
[MTRACE] valid wen=1 addr=0x0f0000a4 wdata=0x0000100f rdata=0x0000100f
[MTRACE] valid wen=0 addr=0x300000f4 wdata=0x00000000 rdata=0xa00052b7
[MTRACE] valid wen=1 addr=0x0f0000a8 wdata=0xa00052b7 rdata=0xa00052b7
