块大小,块总数,相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率
32,16,8,random,4847,4840,7,7,0,0,99.86%
32,32,8,random,4847,4840,7,7,0,0,99.86%
32,32,8,lru,4847,4840,7,7,0,0,99.86%
32,32,8,fifo,4847,4840,7,7,0,0,99.86%
32,32,4,random,4847,4840,7,7,0,0,99.86%
32,32,4,lru,4847,4840,7,7,0,0,99.86%
32,32,4,fifo,4847,4840,7,7,0,0,99.86%
32,32,2,random,4847,4840,7,7,0,0,99.86%
32,32,2,lru,4847,4840,7,7,0,0,99.86%
32,32,2,fifo,4847,4840,7,7,0,0,99.86%
32,32,1,random,4847,4840,7,7,0,0,99.86%
32,32,1,lru,4847,4840,7,7,0,0,99.86%
32,32,1,fifo,4847,4840,7,7,0,0,99.86%
32,128,8,random,4847,4840,7,7,0,0,99.86%
32,16,8,lru,4847,4840,7,7,0,0,99.86%
32,16,8,fifo,4847,4840,7,7,0,0,99.86%
32,16,4,random,4847,4840,7,7,0,0,99.86%
32,16,4,lru,4847,4840,7,7,0,0,99.86%
32,16,4,fifo,4847,4840,7,7,0,0,99.86%
32,16,2,random,4847,4840,7,7,0,0,99.86%
32,16,2,lru,4847,4840,7,7,0,0,99.86%
32,16,2,fifo,4847,4840,7,7,0,0,99.86%
32,16,1,random,4847,4840,7,7,0,0,99.86%
32,16,1,lru,4847,4840,7,7,0,0,99.86%
32,16,1,fifo,4847,4840,7,7,0,0,99.86%
32,64,1,lru,4847,4840,7,7,0,0,99.86%
32,64,1,fifo,4847,4840,7,7,0,0,99.86%
32,128,8,lru,4847,4840,7,7,0,0,99.86%
32,128,8,fifo,4847,4840,7,7,0,0,99.86%
32,128,4,random,4847,4840,7,7,0,0,99.86%
32,128,4,lru,4847,4840,7,7,0,0,99.86%
32,128,4,fifo,4847,4840,7,7,0,0,99.86%
32,128,2,random,4847,4840,7,7,0,0,99.86%
32,128,2,lru,4847,4840,7,7,0,0,99.86%
32,128,2,fifo,4847,4840,7,7,0,0,99.86%
32,128,1,random,4847,4840,7,7,0,0,99.86%
32,128,1,lru,4847,4840,7,7,0,0,99.86%
32,64,8,random,4847,4840,7,7,0,0,99.86%
32,128,1,fifo,4847,4840,7,7,0,0,99.86%
32,64,1,random,4847,4840,7,7,0,0,99.86%
32,64,2,fifo,4847,4840,7,7,0,0,99.86%
32,64,2,lru,4847,4840,7,7,0,0,99.86%
32,64,2,random,4847,4840,7,7,0,0,99.86%
32,64,4,lru,4847,4840,7,7,0,0,99.86%
32,64,4,random,4847,4840,7,7,0,0,99.86%
32,64,8,fifo,4847,4840,7,7,0,0,99.86%
32,64,8,lru,4847,4840,7,7,0,0,99.86%
32,64,4,fifo,4847,4840,7,7,0,0,99.86%
16,32,1,lru,4847,4834,13,13,0,0,99.73%
