分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
64,4,16,2,BTFN+SplitJal,276831713,230626130,46205583,83.31,244368073,198307708,81.15,32463640,32318422,99.55
64,4,16,1,BTFN+SplitJal,276831713,230626044,46205669,83.31,244368073,198307708,81.15,32463640,32318336,99.55
64,2,64,4,BTFN+SplitJal,276831713,230605798,46225915,83.30,244368073,198142353,81.08,32463640,32463445,100.00
64,2,64,2,BTFN+SplitJal,276831713,230605752,46225961,83.30,244368073,198142353,81.08,32463640,32463399,100.00
64,2,64,1,BTFN+SplitJal,276831713,230605633,46226080,83.30,244368073,198142353,81.08,32463640,32463280,100.00
32,4,32,4,BTFN+SplitJal,276831713,230592988,46238725,83.30,244368073,198209479,81.11,32463640,32383509,99.75
32,4,32,2,BTFN+SplitJal,276831713,230592643,46239070,83.30,244368073,198209479,81.11,32463640,32383164,99.75
64,1,64,4,BTFN+SplitJal,276831713,230586407,46245306,83.29,244368073,198122962,81.08,32463640,32463445,100.00
64,1,64,2,BTFN+SplitJal,276831713,230586361,46245352,83.29,244368073,198122962,81.08,32463640,32463399,100.00
64,1,64,1,BTFN+SplitJal,276831713,230586242,46245471,83.29,244368073,198122962,81.08,32463640,32463280,100.00
32,4,32,1,BTFN+SplitJal,276831713,230569760,46261953,83.29,244368073,198209479,81.11,32463640,32360281,99.68
32,4,16,4,BTFN+SplitJal,276831713,230556636,46275077,83.28,244368073,198209479,81.11,32463640,32347157,99.64
32,1,32,4,BTFN+SplitJal,276831713,230549390,46282323,83.28,244368073,198165881,81.09,32463640,32383509,99.75
32,2,32,4,BTFN+SplitJal,276831713,230549357,46282356,83.28,244368073,198165848,81.09,32463640,32383509,99.75
32,1,32,2,BTFN+SplitJal,276831713,230549045,46282668,83.28,244368073,198165881,81.09,32463640,32383164,99.75
32,2,32,2,BTFN+SplitJal,276831713,230549012,46282701,83.28,244368073,198165848,81.09,32463640,32383164,99.75
64,4,4,4,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,16,1,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,32,2,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,32,1,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,64,4,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,16,4,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,8,4,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,8,2,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,64,2,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,32,4,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,16,2,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,8,1,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,4,1,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,4,2,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
64,4,64,1,BTFN+SharedJal,276831713,230543074,46288639,83.28,244368073,198183868,81.10,32463640,32359206,99.68
32,4,16,2,BTFN+SplitJal,276831713,230527901,46303812,83.27,244368073,198209479,81.11,32463640,32318422,99.55
32,4,16,1,BTFN+SplitJal,276831713,230527815,46303898,83.27,244368073,198209479,81.11,32463640,32318336,99.55
32,1,32,1,BTFN+SplitJal,276831713,230526162,46305551,83.27,244368073,198165881,81.09,32463640,32360281,99.68
32,2,32,1,BTFN+SplitJal,276831713,230526129,46305584,83.27,244368073,198165848,81.09,32463640,32360281,99.68
64,2,32,4,BTFN+SplitJal,276831713,230525862,46305851,83.27,244368073,198142353,81.08,32463640,32383509,99.75
64,2,32,2,BTFN+SplitJal,276831713,230525517,46306196,83.27,244368073,198142353,81.08,32463640,32383164,99.75
32,1,16,4,BTFN+SplitJal,276831713,230513038,46318675,83.27,244368073,198165881,81.09,32463640,32347157,99.64
32,2,16,4,BTFN+SplitJal,276831713,230513005,46318708,83.27,244368073,198165848,81.09,32463640,32347157,99.64
64,1,32,4,BTFN+SplitJal,276831713,230506471,46325242,83.27,244368073,198122962,81.08,32463640,32383509,99.75
64,1,32,2,BTFN+SplitJal,276831713,230506126,46325587,83.27,244368073,198122962,81.08,32463640,32383164,99.75
64,2,32,1,BTFN+SplitJal,276831713,230502634,46329079,83.26,244368073,198142353,81.08,32463640,32360281,99.68
64,2,16,4,BTFN+SplitJal,276831713,230489510,46342203,83.26,244368073,198142353,81.08,32463640,32347157,99.64
32,1,16,2,BTFN+SplitJal,276831713,230484303,46347410,83.26,244368073,198165881,81.09,32463640,32318422,99.55
32,2,16,2,BTFN+SplitJal,276831713,230484270,46347443,83.26,244368073,198165848,81.09,32463640,32318422,99.55
32,1,16,1,BTFN+SplitJal,276831713,230484217,46347496,83.26,244368073,198165881,81.09,32463640,32318336,99.55
32,2,16,1,BTFN+SplitJal,276831713,230484184,46347529,83.26,244368073,198165848,81.09,32463640,32318336,99.55
64,1,32,1,BTFN+SplitJal,276831713,230483243,46348470,83.26,244368073,198122962,81.08,32463640,32360281,99.68
64,1,16,4,BTFN+SplitJal,276831713,230470119,46361594,83.25,244368073,198122962,81.08,32463640,32347157,99.64
64,2,16,2,BTFN+SplitJal,276831713,230460775,46370938,83.25,244368073,198142353,81.08,32463640,32318422,99.55
64,2,16,1,BTFN+SplitJal,276831713,230460689,46371024,83.25,244368073,198142353,81.08,32463640,32318336,99.55
64,1,16,2,BTFN+SplitJal,276831713,230441384,46390329,83.24,244368073,198122962,81.08,32463640,32318422,99.55
64,1,16,1,BTFN+SplitJal,276831713,230441298,46390415,83.24,244368073,198122962,81.08,32463640,32318336,99.55
32,4,16,1,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,4,4,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,8,4,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,64,4,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,4,1,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,16,2,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,16,4,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,32,1,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,32,2,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,32,4,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,8,2,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,4,2,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,64,1,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,8,1,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
32,4,64,2,BTFN+SharedJal,276831713,230160146,46671567,83.14,244368073,198169859,81.09,32463640,31990287,98.54
64,4,8,4,BTFN+SplitJal,276831713,229745281,47086432,82.99,244368073,198307708,81.15,32463640,31437573,96.84
64,4,8,2,BTFN+SplitJal,276831713,229745096,47086617,82.99,244368073,198307708,81.15,32463640,31437388,96.84
64,4,8,1,BTFN+SplitJal,276831713,229745052,47086661,82.99,244368073,198307708,81.15,32463640,31437344,96.84
32,4,8,4,BTFN+SplitJal,276831713,229647052,47184661,82.96,244368073,198209479,81.11,32463640,31437573,96.84
32,4,8,2,BTFN+SplitJal,276831713,229646867,47184846,82.96,244368073,198209479,81.11,32463640,31437388,96.84
32,4,8,1,BTFN+SplitJal,276831713,229646823,47184890,82.96,244368073,198209479,81.11,32463640,31437344,96.84
32,1,8,4,BTFN+SplitJal,276831713,229603454,47228259,82.94,244368073,198165881,81.09,32463640,31437573,96.84
32,2,8,4,BTFN+SplitJal,276831713,229603421,47228292,82.94,244368073,198165848,81.09,32463640,31437573,96.84
32,1,8,2,BTFN+SplitJal,276831713,229603269,47228444,82.94,244368073,198165881,81.09,32463640,31437388,96.84
32,2,8,2,BTFN+SplitJal,276831713,229603236,47228477,82.94,244368073,198165848,81.09,32463640,31437388,96.84
32,1,8,1,BTFN+SplitJal,276831713,229603225,47228488,82.94,244368073,198165881,81.09,32463640,31437344,96.84
32,2,8,1,BTFN+SplitJal,276831713,229603192,47228521,82.94,244368073,198165848,81.09,32463640,31437344,96.84
64,2,8,4,BTFN+SplitJal,276831713,229579926,47251787,82.93,244368073,198142353,81.08,32463640,31437573,96.84
64,2,8,2,BTFN+SplitJal,276831713,229579741,47251972,82.93,244368073,198142353,81.08,32463640,31437388,96.84
64,2,8,1,BTFN+SplitJal,276831713,229579697,47252016,82.93,244368073,198142353,81.08,32463640,31437344,96.84
64,1,8,4,BTFN+SplitJal,276831713,229560535,47271178,82.92,244368073,198122962,81.08,32463640,31437573,96.84
64,1,8,2,BTFN+SplitJal,276831713,229560350,47271363,82.92,244368073,198122962,81.08,32463640,31437388,96.84
64,1,8,1,BTFN+SplitJal,276831713,229560306,47271407,82.92,244368073,198122962,81.08,32463640,31437344,96.84
