块大小,块总数,相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率
128,64,2,lru,46667,46652,15,15,0,0,99.97%
128,128,4,lru,46667,46652,15,15,0,0,99.97%
128,128,2,random,46667,46652,15,15,0,0,99.97%
128,128,2,lru,46667,46652,15,15,0,0,99.97%
128,128,2,fifo,46667,46652,15,15,0,0,99.97%
128,128,1,random,46667,46652,15,15,0,0,99.97%
128,128,1,lru,46667,46652,15,15,0,0,99.97%
128,128,1,fifo,46667,46652,15,15,0,0,99.97%
128,64,8,random,46667,46652,15,15,0,0,99.97%
128,64,8,lru,46667,46652,15,15,0,0,99.97%
128,64,8,fifo,46667,46652,15,15,0,0,99.97%
128,64,4,random,46667,46652,15,15,0,0,99.97%
128,64,4,lru,46667,46652,15,15,0,0,99.97%
128,64,4,fifo,46667,46652,15,15,0,0,99.97%
128,64,2,random,46667,46652,15,15,0,0,99.97%
128,128,4,fifo,46667,46652,15,15,0,0,99.97%
128,64,2,fifo,46667,46652,15,15,0,0,99.97%
128,16,8,fifo,46667,46652,15,15,0,0,99.97%
128,16,8,lru,46667,46652,15,15,0,0,99.97%
128,16,8,random,46667,46652,15,15,0,0,99.97%
128,32,2,fifo,46667,46652,15,15,0,0,99.97%
128,32,2,lru,46667,46652,15,15,0,0,99.97%
128,32,2,random,46667,46652,15,15,0,0,99.97%
128,32,4,fifo,46667,46652,15,15,0,0,99.97%
128,32,4,lru,46667,46652,15,15,0,0,99.97%
128,32,4,random,46667,46652,15,15,0,0,99.97%
128,32,8,fifo,46667,46652,15,15,0,0,99.97%
128,32,8,lru,46667,46652,15,15,0,0,99.97%
128,32,8,random,46667,46652,15,15,0,0,99.97%
128,256,8,random,46667,46652,15,15,0,0,99.97%
128,512,8,random,46667,46652,15,15,0,0,99.97%
128,512,8,lru,46667,46652,15,15,0,0,99.97%
128,512,8,fifo,46667,46652,15,15,0,0,99.97%
128,512,4,random,46667,46652,15,15,0,0,99.97%
128,512,4,lru,46667,46652,15,15,0,0,99.97%
128,512,4,fifo,46667,46652,15,15,0,0,99.97%
128,512,2,random,46667,46652,15,15,0,0,99.97%
128,512,2,lru,46667,46652,15,15,0,0,99.97%
128,512,2,fifo,46667,46652,15,15,0,0,99.97%
128,512,1,random,46667,46652,15,15,0,0,99.97%
128,512,1,lru,46667,46652,15,15,0,0,99.97%
128,512,1,fifo,46667,46652,15,15,0,0,99.97%
128,128,4,random,46667,46652,15,15,0,0,99.97%
128,256,8,lru,46667,46652,15,15,0,0,99.97%
128,256,4,random,46667,46652,15,15,0,0,99.97%
128,128,8,fifo,46667,46652,15,15,0,0,99.97%
128,128,8,lru,46667,46652,15,15,0,0,99.97%
128,128,8,random,46667,46652,15,15,0,0,99.97%
128,256,1,fifo,46667,46652,15,15,0,0,99.97%
128,256,1,lru,46667,46652,15,15,0,0,99.97%
128,256,1,random,46667,46652,15,15,0,0,99.97%
128,256,2,fifo,46667,46652,15,15,0,0,99.97%
128,256,2,lru,46667,46652,15,15,0,0,99.97%
128,256,2,random,46667,46652,15,15,0,0,99.97%
128,256,4,fifo,46667,46652,15,15,0,0,99.97%
128,256,4,lru,46667,46652,15,15,0,0,99.97%
128,256,8,fifo,46667,46652,15,15,0,0,99.97%
128,16,4,lru,46667,46651,16,15,0,1,99.97%
128,16,4,fifo,46667,46651,16,15,0,1,99.97%
128,16,2,lru,46667,46651,16,15,0,1,99.97%
128,16,2,fifo,46667,46651,16,15,0,1,99.97%
128,16,2,random,46667,46650,17,15,0,2,99.96%
128,16,4,random,46667,46649,18,15,0,3,99.96%
128,8,8,lru,46667,46648,19,15,4,0,99.96%
128,8,4,lru,46667,46648,19,15,4,0,99.96%
64,256,1,random,46667,46646,21,21,0,0,99.96%
64,512,4,lru,46667,46646,21,21,0,0,99.96%
64,512,4,random,46667,46646,21,21,0,0,99.96%
64,512,8,fifo,46667,46646,21,21,0,0,99.96%
64,512,8,lru,46667,46646,21,21,0,0,99.96%
64,512,8,random,46667,46646,21,21,0,0,99.96%
64,128,4,fifo,46667,46646,21,21,0,0,99.96%
64,128,4,lru,46667,46646,21,21,0,0,99.96%
64,128,4,random,46667,46646,21,21,0,0,99.96%
64,128,8,fifo,46667,46646,21,21,0,0,99.96%
64,128,8,lru,46667,46646,21,21,0,0,99.96%
64,128,8,random,46667,46646,21,21,0,0,99.96%
64,256,1,fifo,46667,46646,21,21,0,0,99.96%
64,256,1,lru,46667,46646,21,21,0,0,99.96%
64,512,4,fifo,46667,46646,21,21,0,0,99.96%
128,8,4,fifo,46667,46646,21,15,4,2,99.96%
64,256,2,fifo,46667,46646,21,21,0,0,99.96%
64,256,2,lru,46667,46646,21,21,0,0,99.96%
64,256,2,random,46667,46646,21,21,0,0,99.96%
64,256,4,fifo,46667,46646,21,21,0,0,99.96%
64,256,4,lru,46667,46646,21,21,0,0,99.96%
64,256,4,random,46667,46646,21,21,0,0,99.96%
64,256,8,fifo,46667,46646,21,21,0,0,99.96%
64,32,8,fifo,46667,46646,21,21,0,0,99.96%
64,128,2,lru,46667,46646,21,21,0,0,99.96%
64,128,2,fifo,46667,46646,21,21,0,0,99.96%
64,64,8,random,46667,46646,21,21,0,0,99.96%
64,64,8,lru,46667,46646,21,21,0,0,99.96%
64,64,8,fifo,46667,46646,21,21,0,0,99.96%
64,64,4,random,46667,46646,21,21,0,0,99.96%
64,64,4,lru,46667,46646,21,21,0,0,99.96%
64,64,4,fifo,46667,46646,21,21,0,0,99.96%
64,64,2,random,46667,46646,21,21,0,0,99.96%
64,64,2,lru,46667,46646,21,21,0,0,99.96%
64,64,2,fifo,46667,46646,21,21,0,0,99.96%
64,32,8,random,46667,46646,21,21,0,0,99.96%
64,32,8,lru,46667,46646,21,21,0,0,99.96%
64,128,2,random,46667,46646,21,21,0,0,99.96%
64,32,4,random,46667,46646,21,21,0,0,99.96%
64,32,4,lru,46667,46646,21,21,0,0,99.96%
64,32,4,fifo,46667,46646,21,21,0,0,99.96%
64,16,8,lru,46667,46646,21,21,0,0,99.96%
64,256,8,lru,46667,46646,21,21,0,0,99.96%
64,256,8,random,46667,46646,21,21,0,0,99.96%
64,512,1,fifo,46667,46646,21,21,0,0,99.96%
64,512,1,lru,46667,46646,21,21,0,0,99.96%
64,512,1,random,46667,46646,21,21,0,0,99.96%
64,512,2,fifo,46667,46646,21,21,0,0,99.96%
