record_type,step,pc,inst,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,mem_access,mem_width,pa_shifted,va_raw,value
STEP,18,0x000000cc,0x00112823,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x00049600,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
MEM,18,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000033,0x000000cc,0x00112823
MEM,18,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147fc,0x00051ff0,0x0000123c
STEP,19,0x000000d0,0x000496b7,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049000,0x00000000,0x00000000,,,,,
MEM,19,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000034,0x000000d0,0x000496b7
STEP,20,0x000000d4,0x69068693,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x00000000,0x00000000,,,,,
MEM,20,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000035,0x000000d4,0x69068693
STEP,21,0x000000d8,0x00048413,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x00000000,0x00000000,,,,,
MEM,21,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000036,0x000000d8,0x00048413
STEP,22,0x000000dc,0x00048713,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,22,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000037,0x000000dc,0x00048713
STEP,23,0x000000e0,0xfe012823,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,23,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000038,0x000000e0,0xfe012823
MEM,23,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147f4,0x00051fd0,0x00000000
STEP,24,0x000000e4,0x00174183,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,24,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000039,0x000000e4,0x00174183
MEM,24,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000125ac,0x000496b1,0x00000000
STEP,25,0x000000e8,0xfe3109a3,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,25,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000003a,0x000000e8,0xfe3109a3
MEM,25,,,,,,,,,,,,,,,,,,,WRITE,BYTE,0x000147f4,0x00051fd3,0x00000000
STEP,26,0x000000ec,0xff012183,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,26,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000003b,0x000000ec,0xff012183
MEM,26,,,,,,,,,,,,,,,,,,,READ,WORD,0x000147f4,0x00051fd0,0x00000000
STEP,27,0x000000f0,0xfe812e23,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,27,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000003c,0x000000f0,0xfe812e23
MEM,27,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147f7,0x00051fdc,0x000496b0
STEP,28,0x000000f4,0xfe312823,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x000496b0,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,28,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000003d,0x000000f4,0xfe312823
MEM,28,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147f4,0x00051fd0,0x00000000
STEP,29,0x000000f8,0x0003d437,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d000,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,29,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000003e,0x000000f8,0x0003d437
STEP,30,0x000000fc,0x60040413,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,30,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000003f,0x000000fc,0x60040413
STEP,31,0x00000100,0xff214203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,31,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000040,0x00000100,0xff214203
MEM,31,,,,,,,,,,,,,,,,,,,READ,BYTE,0x000147f4,0x00051fd2,0x00000000
STEP,32,0x00000104,0x00420233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,32,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000041,0x00000104,0x00420233
STEP,33,0x00000108,0x00420233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,33,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000042,0x00000108,0x00420233
STEP,34,0x0000010c,0x00440233,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x0003d600,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,34,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000043,0x0000010c,0x00440233
STEP,35,0x00000110,0x00022203,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,35,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000044,0x00000110,0x00022203
MEM,35,,,,,,,,,,,,,,,,,,,READ,WORD,0x0000f580,0x0003d600,0x00000000
STEP,36,0x00000114,0xfe412623,0x00000000,0x0000123c,0x00051fe0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0003d600,0x000496b0,0x00049600,0x00000000,0x00000000,0x00049690,0x000496b0,0x00000000,,,,,
MEM,36,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000045,0x00000114,0xfe412623
MEM,36,,,,,,,,,,,,,,,,,,,WRITE,WORD,0x000147f3,0x00051fcc,0x00000000
