块大小,块总数,容量(B),相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率,缺失代价(事务数)
16,512,8192,8,fifo,10,7,3,3,0,0,70.00%,12
128,8,1024,4,lru,10,7,3,3,0,0,70.00%,96
128,8,1024,4,random,10,7,3,3,0,0,70.00%,96
128,8,1024,8,fifo,10,7,3,3,0,0,70.00%,96
32,4,128,4,random,10,7,3,3,0,0,70.00%,24
32,4,128,4,lru,10,7,3,3,0,0,70.00%,24
32,4,128,4,fifo,10,7,3,3,0,0,70.00%,24
128,8,1024,8,lru,10,7,3,3,0,0,70.00%,96
128,8,1024,8,random,10,7,3,3,0,0,70.00%,96
16,512,8192,8,random,10,7,3,3,0,0,70.00%,12
16,512,8192,8,lru,10,7,3,3,0,0,70.00%,12
32,8,256,4,fifo,10,7,3,3,0,0,70.00%,24
16,512,8192,4,random,10,7,3,3,0,0,70.00%,12
16,512,8192,4,lru,10,7,3,3,0,0,70.00%,12
16,512,8192,4,fifo,10,7,3,3,0,0,70.00%,12
16,256,4096,8,random,10,7,3,3,0,0,70.00%,12
16,256,4096,8,lru,10,7,3,3,0,0,70.00%,12
16,256,4096,8,fifo,10,7,3,3,0,0,70.00%,12
16,256,4096,4,random,10,7,3,3,0,0,70.00%,12
16,256,4096,4,lru,10,7,3,3,0,0,70.00%,12
16,256,4096,4,fifo,10,7,3,3,0,0,70.00%,12
16,128,2048,8,random,10,7,3,3,0,0,70.00%,12
32,16,512,8,lru,10,7,3,3,0,0,70.00%,24
32,64,2048,4,fifo,10,7,3,3,0,0,70.00%,24
128,4,512,4,lru,10,7,3,3,0,0,70.00%,96
128,4,512,4,random,10,7,3,3,0,0,70.00%,96
32,32,1024,8,random,10,7,3,3,0,0,70.00%,24
32,32,1024,8,lru,10,7,3,3,0,0,70.00%,24
32,32,1024,8,fifo,10,7,3,3,0,0,70.00%,24
32,32,1024,4,random,10,7,3,3,0,0,70.00%,24
32,32,1024,4,lru,10,7,3,3,0,0,70.00%,24
32,32,1024,4,fifo,10,7,3,3,0,0,70.00%,24
32,16,512,8,random,10,7,3,3,0,0,70.00%,24
16,128,2048,8,lru,10,7,3,3,0,0,70.00%,12
32,16,512,8,fifo,10,7,3,3,0,0,70.00%,24
32,16,512,4,random,10,7,3,3,0,0,70.00%,24
32,16,512,4,lru,10,7,3,3,0,0,70.00%,24
32,16,512,4,fifo,10,7,3,3,0,0,70.00%,24
128,8,1024,4,fifo,10,7,3,3,0,0,70.00%,96
32,8,256,8,random,10,7,3,3,0,0,70.00%,24
32,8,256,8,lru,10,7,3,3,0,0,70.00%,24
32,8,256,8,fifo,10,7,3,3,0,0,70.00%,24
32,8,256,4,random,10,7,3,3,0,0,70.00%,24
32,8,256,4,lru,10,7,3,3,0,0,70.00%,24
16,8,128,4,lru,10,7,3,3,0,0,70.00%,12
16,16,256,8,random,10,7,3,3,0,0,70.00%,12
16,16,256,8,lru,10,7,3,3,0,0,70.00%,12
16,16,256,8,fifo,10,7,3,3,0,0,70.00%,12
16,16,256,4,random,10,7,3,3,0,0,70.00%,12
16,16,256,4,lru,10,7,3,3,0,0,70.00%,12
16,16,256,4,fifo,10,7,3,3,0,0,70.00%,12
16,8,128,8,random,10,7,3,3,0,0,70.00%,12
16,8,128,8,lru,10,7,3,3,0,0,70.00%,12
16,8,128,8,fifo,10,7,3,3,0,0,70.00%,12
16,8,128,4,random,10,7,3,3,0,0,70.00%,12
128,16,2048,8,random,10,7,3,3,0,0,70.00%,96
16,8,128,4,fifo,10,7,3,3,0,0,70.00%,12
128,32,4096,4,fifo,10,7,3,3,0,0,70.00%,96
16,4,64,4,random,10,7,3,3,0,0,70.00%,12
16,4,64,4,lru,10,7,3,3,0,0,70.00%,12
16,4,64,4,fifo,10,7,3,3,0,0,70.00%,12
128,32,4096,4,lru,10,7,3,3,0,0,70.00%,96
128,32,4096,4,random,10,7,3,3,0,0,70.00%,96
128,32,4096,8,fifo,10,7,3,3,0,0,70.00%,96
128,32,4096,8,lru,10,7,3,3,0,0,70.00%,96
128,32,4096,8,random,10,7,3,3,0,0,70.00%,96
16,64,1024,4,fifo,10,7,3,3,0,0,70.00%,12
16,128,2048,8,fifo,10,7,3,3,0,0,70.00%,12
16,128,2048,4,random,10,7,3,3,0,0,70.00%,12
16,128,2048,4,lru,10,7,3,3,0,0,70.00%,12
16,128,2048,4,fifo,10,7,3,3,0,0,70.00%,12
128,16,2048,4,fifo,10,7,3,3,0,0,70.00%,96
16,64,1024,8,random,10,7,3,3,0,0,70.00%,12
16,64,1024,8,lru,10,7,3,3,0,0,70.00%,12
16,64,1024,8,fifo,10,7,3,3,0,0,70.00%,12
16,64,1024,4,random,10,7,3,3,0,0,70.00%,12
16,64,1024,4,lru,10,7,3,3,0,0,70.00%,12
32,64,2048,4,lru,10,7,3,3,0,0,70.00%,24
128,16,2048,4,lru,10,7,3,3,0,0,70.00%,96
128,16,2048,4,random,10,7,3,3,0,0,70.00%,96
128,16,2048,8,fifo,10,7,3,3,0,0,70.00%,96
16,32,512,8,random,10,7,3,3,0,0,70.00%,12
16,32,512,8,lru,10,7,3,3,0,0,70.00%,12
16,32,512,8,fifo,10,7,3,3,0,0,70.00%,12
16,32,512,4,lru,10,7,3,3,0,0,70.00%,12
16,32,512,4,fifo,10,7,3,3,0,0,70.00%,12
128,16,2048,8,lru,10,7,3,3,0,0,70.00%,96
64,32,2048,4,lru,10,7,3,3,0,0,70.00%,48
64,64,4096,4,random,10,7,3,3,0,0,70.00%,48
64,64,4096,4,lru,10,7,3,3,0,0,70.00%,48
64,64,4096,4,fifo,10,7,3,3,0,0,70.00%,48
64,512,32768,1,lru,10,7,3,3,0,0,70.00%,48
64,512,32768,1,random,10,7,3,3,0,0,70.00%,48
64,512,32768,2,fifo,10,7,3,3,0,0,70.00%,48
64,32,2048,8,random,10,7,3,3,0,0,70.00%,48
64,32,2048,8,lru,10,7,3,3,0,0,70.00%,48
64,32,2048,8,fifo,10,7,3,3,0,0,70.00%,48
64,32,2048,4,random,10,7,3,3,0,0,70.00%,48
64,64,4096,8,fifo,10,7,3,3,0,0,70.00%,48
64,32,2048,4,fifo,10,7,3,3,0,0,70.00%,48
64,512,32768,2,lru,10,7,3,3,0,0,70.00%,48
64,512,32768,2,random,10,7,3,3,0,0,70.00%,48
64,512,32768,4,fifo,10,7,3,3,0,0,70.00%,48
64,16,1024,8,random,10,7,3,3,0,0,70.00%,48
64,16,1024,8,lru,10,7,3,3,0,0,70.00%,48
64,16,1024,8,fifo,10,7,3,3,0,0,70.00%,48
64,16,1024,4,random,10,7,3,3,0,0,70.00%,48
64,16,1024,4,lru,10,7,3,3,0,0,70.00%,48
64,16,1024,4,fifo,10,7,3,3,0,0,70.00%,48
64,256,16384,1,random,10,7,3,3,0,0,70.00%,48
64,512,32768,1,fifo,10,7,3,3,0,0,70.00%,48
64,256,16384,8,random,10,7,3,3,0,0,70.00%,48
64,256,16384,8,lru,10,7,3,3,0,0,70.00%,48
64,256,16384,8,fifo,10,7,3,3,0,0,70.00%,48
64,256,16384,4,random,10,7,3,3,0,0,70.00%,48
64,256,16384,4,lru,10,7,3,3,0,0,70.00%,48
64,256,16384,4,fifo,10,7,3,3,0,0,70.00%,48
64,256,16384,2,random,10,7,3,3,0,0,70.00%,48
64,256,16384,2,lru,10,7,3,3,0,0,70.00%,48
64,256,16384,2,fifo,10,7,3,3,0,0,70.00%,48
64,512,32768,4,lru,10,7,3,3,0,0,70.00%,48
64,256,16384,1,lru,10,7,3,3,0,0,70.00%,48
64,256,16384,1,fifo,10,7,3,3,0,0,70.00%,48
64,128,8192,8,random,10,7,3,3,0,0,70.00%,48
64,128,8192,8,lru,10,7,3,3,0,0,70.00%,48
64,128,8192,8,fifo,10,7,3,3,0,0,70.00%,48
64,128,8192,4,random,10,7,3,3,0,0,70.00%,48
64,128,8192,4,lru,10,7,3,3,0,0,70.00%,48
64,128,8192,4,fifo,10,7,3,3,0,0,70.00%,48
64,64,4096,8,random,10,7,3,3,0,0,70.00%,48
64,64,4096,8,lru,10,7,3,3,0,0,70.00%,48
32,128,4096,8,random,10,7,3,3,0,0,70.00%,24
32,512,16384,2,fifo,10,7,3,3,0,0,70.00%,24
32,512,16384,1,random,10,7,3,3,0,0,70.00%,24
32,512,16384,1,lru,10,7,3,3,0,0,70.00%,24
32,512,16384,1,fifo,10,7,3,3,0,0,70.00%,24
