算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
AlwaysJump,1000,1000,0,100.00,0,0,0.00,1000,1000,100.00
BTFN,1000,0,1000,0.00,0,0,0.00,1000,0,0.00
BTFN+SharedJal,1000,998,2,99.80,0,0,0.00,1000,998,99.80
BTFN+SplitJal,1000,998,2,99.80,0,0,0.00,1000,998,99.80
