算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
BTFN,7,1,6,14.29,5,1,20.00,2,0,0.00
BTFN+SharedJal,7,2,5,28.57,5,1,20.00,2,1,50.00
BTFN+SplitJal,7,2,5,28.57,5,1,20.00,2,1,50.00
