算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
AlwaysJump,1009,1009,0,100.00,0,0,0.00,1009,1009,100.00
BTFN,1009,0,1009,0.00,0,0,0.00,1009,0,0.00
BTFN+SharedJal,1009,1003,6,99.41,0,0,0.00,1009,1003,99.41
BTFN+SplitJal,1009,1003,6,99.41,0,0,0.00,1009,1003,99.41
