算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
AlwaysJump,276831713,200528576,76303137,72.44,244368073,168064936,68.78,32463640,32463640,100.00
BTFN,276831713,197013568,79818145,71.17,244368073,197013568,80.62,32463640,0,0.00
BTFN+SharedJal,276831713,226893819,49937894,81.96,244368073,197186572,80.69,32463640,29707247,91.51
BTFN+SplitJal,276831713,229336735,47494978,82.84,244368073,197013568,80.62,32463640,32323167,99.57
