算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
AlwaysJump,43502469,29500926,14001543,67.81,41502155,27500612,66.26,2000314,2000314,100.00
BTFN,43502469,37501517,6000952,86.21,41502155,37501517,90.36,2000314,0,0.00
BTFN+SharedJal,43502469,38501722,5000747,88.50,41502155,37501503,90.36,2000314,1000219,50.00
BTFN+SplitJal,43502469,38501786,5000683,88.50,41502155,37501517,90.36,2000314,1000269,50.01
