块大小,块总数,容量(B),相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率,缺失代价(事务数)
64,4,256,2,fifo,3,2,1,1,0,0,66.67%,16
32,512,16384,4,lru,3,2,1,1,0,0,66.67%,8
32,512,16384,4,random,3,2,1,1,0,0,66.67%,8
32,512,16384,8,fifo,3,2,1,1,0,0,66.67%,8
32,512,16384,8,lru,3,2,1,1,0,0,66.67%,8
32,512,16384,8,random,3,2,1,1,0,0,66.67%,8
64,4,256,1,fifo,3,2,1,1,0,0,66.67%,16
64,4,256,1,lru,3,2,1,1,0,0,66.67%,16
64,4,256,1,random,3,2,1,1,0,0,66.67%,16
32,512,16384,4,fifo,3,2,1,1,0,0,66.67%,8
64,4,256,2,lru,3,2,1,1,0,0,66.67%,16
64,4,256,2,random,3,2,1,1,0,0,66.67%,16
64,4,256,4,fifo,3,2,1,1,0,0,66.67%,16
64,4,256,4,lru,3,2,1,1,0,0,66.67%,16
64,4,256,4,random,3,2,1,1,0,0,66.67%,16
64,8,512,1,fifo,3,2,1,1,0,0,66.67%,16
64,8,512,1,lru,3,2,1,1,0,0,66.67%,16
64,8,512,1,random,3,2,1,1,0,0,66.67%,16
32,256,8192,8,lru,3,2,1,1,0,0,66.67%,8
32,256,8192,1,random,3,2,1,1,0,0,66.67%,8
32,256,8192,2,fifo,3,2,1,1,0,0,66.67%,8
32,256,8192,2,lru,3,2,1,1,0,0,66.67%,8
32,256,8192,2,random,3,2,1,1,0,0,66.67%,8
32,256,8192,4,fifo,3,2,1,1,0,0,66.67%,8
32,256,8192,4,lru,3,2,1,1,0,0,66.67%,8
32,256,8192,4,random,3,2,1,1,0,0,66.67%,8
32,256,8192,8,fifo,3,2,1,1,0,0,66.67%,8
64,8,512,2,fifo,3,2,1,1,0,0,66.67%,16
32,256,8192,8,random,3,2,1,1,0,0,66.67%,8
32,512,16384,1,fifo,3,2,1,1,0,0,66.67%,8
32,512,16384,1,lru,3,2,1,1,0,0,66.67%,8
32,512,16384,1,random,3,2,1,1,0,0,66.67%,8
32,512,16384,2,fifo,3,2,1,1,0,0,66.67%,8
32,512,16384,2,lru,3,2,1,1,0,0,66.67%,8
32,512,16384,2,random,3,2,1,1,0,0,66.67%,8
64,32,2048,2,random,3,2,1,1,0,0,66.67%,16
64,16,1024,8,fifo,3,2,1,1,0,0,66.67%,16
64,16,1024,8,lru,3,2,1,1,0,0,66.67%,16
64,16,1024,8,random,3,2,1,1,0,0,66.67%,16
